Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
3.378909e-01  19.359725  3.314739e-01  1.648177e-01  -7.829962
3.394625e-01  19.449770  3.329561e-01  1.662950e-01  -7.791208
3.410341e-01  19.539815  3.344375e-01  1.677781e-01  -7.752648
3.426057e-01  19.629860  3.359181e-01  1.692669e-01  -7.714280
3.441773e-01  19.719905  3.373978e-01  1.707614e-01  -7.676102
3.457488e-01  19.809950  3.388767e-01  1.722617e-01  -7.638112
3.473204e-01  19.899995  3.403548e-01  1.737677e-01  -7.600309
3.488920e-01  19.990040  3.418321e-01  1.752794e-01  -7.562692
3.504636e-01  20.080085  3.433084e-01  1.767967e-01  -7.525257
3.520352e-01  20.170129  3.447840e-01  1.783198e-01  -7.488005
3.536068e-01  20.260174  3.462587e-01  1.798484e-01  -7.450933
3.551783e-01  20.350219  3.477325e-01  1.813827e-01  -7.414041
3.567499e-01  20.440264  3.492055e-01  1.829226e-01  -7.377325
3.583215e-01  20.530309  3.506776e-01  1.844682e-01  -7.340786
3.598931e-01  20.620354  3.521489e-01  1.860193e-01  -7.304421
3.614647e-01  20.710399  3.536193e-01  1.875760e-01  -7.268228
3.630362e-01  20.800444  3.550888e-01  1.891382e-01  -7.232208
3.646078e-01  20.890489  3.565574e-01  1.907060e-01  -7.196357
3.661794e-01  20.980534  3.580252e-01  1.922793e-01  -7.160676
3.677510e-01  21.070579  3.594921e-01  1.938581e-01  -7.125161
3.693226e-01  21.160624  3.609580e-01  1.954424e-01  -7.089813
3.708941e-01  21.250669  3.624231e-01  1.970322e-01  -7.054629
3.724657e-01  21.340714  3.638873e-01  1.986274e-01  -7.019608
3.740373e-01  21.430759  3.653506e-01  2.002281e-01  -6.984750
3.756089e-01  21.520804  3.668130e-01  2.018342e-01  -6.950052
3.771805e-01  21.610849  3.682745e-01  2.034458e-01  -6.915514
3.787520e-01  21.700894  3.697351e-01  2.050627e-01  -6.881133
3.803236e-01  21.790939  3.711948e-01  2.066850e-01  -6.846910
3.818952e-01  21.880984  3.726535e-01  2.083127e-01  -6.812842
3.834668e-01  21.971029  3.741114e-01  2.099458e-01  -6.778929
