theta_deg D_times D_dB
29.44 1.864520e-03 -27.294330
29.53 1.851671e-03 -27.324363
29.62 1.839000e-03 -27.354182
29.71 1.826506e-03 -27.383788
29.80 1.814187e-03 -27.413179
29.89 1.802040e-03 -27.442356
29.99 1.790062e-03 -27.471318
30.08 1.778253e-03 -27.500065
30.17 1.766609e-03 -27.528596
30.26 1.755128e-03 -27.556912
30.35 1.743809e-03 -27.585011
30.44 1.732649e-03 -27.612893
30.53 1.721647e-03 -27.640558
30.62 1.710801e-03 -27.668006
30.71 1.700107e-03 -27.695236
30.80 1.689566e-03 -27.722248
30.89 1.679174e-03 -27.749042
30.98 1.668931e-03 -27.775616
31.07 1.658834e-03 -27.801972
31.16 1.648881e-03 -27.828108
31.25 1.639070e-03 -27.854024
31.34 1.629401e-03 -27.879720
31.43 1.619871e-03 -27.905196
31.52 1.610479e-03 -27.930450
31.61 1.601222e-03 -27.955483
31.70 1.592101e-03 -27.980295
31.79 1.583111e-03 -28.004885
31.88 1.574254e-03 -28.029253
31.97 1.565526e-03 -28.053398
32.06 1.556926e-03 -28.077320
32.15 1.548453e-03 -28.101019
32.24 1.540106e-03 -28.124495
32.33 1.531882e-03 -28.147747
32.42 1.523781e-03 -28.170775
32.51 1.515801e-03 -28.193578
32.60 1.507941e-03 -28.216157
32.69 1.500199e-03 -28.238511
32.78 1.492574e-03 -28.260640
32.87 1.485066e-03 -28.282544
32.96 1.477671e-03 -28.304221
33.05 1.470390e-03 -28.325673
33.14 1.463222e-03 -28.346899
33.23 1.456164e-03 -28.367898
33.32 1.449216e-03 -28.388670
33.41 1.442376e-03 -28.409215
33.50 1.435644e-03 -28.429534
33.59 1.429018e-03 -28.449624
33.68 1.422497e-03 -28.469488
33.77 1.416080e-03 -28.489123
33.86 1.409766e-03 -28.508531
33.95 1.403554e-03 -28.527710
34.04 1.397442e-03 -28.546661
34.13 1.391431e-03 -28.565383
34.22 1.385518e-03 -28.583877
34.31 1.379704e-03 -28.602142
34.40 1.373986e-03 -28.620178
34.49 1.368364e-03 -28.637985
34.58 1.362836e-03 -28.655563
34.67 1.357403e-03 -28.672911
34.76 1.352063e-03 -28.690030
34.85 1.346815e-03 -28.706919
34.94 1.341659e-03 -28.723579
35.03 1.336593e-03 -28.740009
35.12 1.331616e-03 -28.756209
35.21 1.326729e-03 -28.772179
35.30 1.321929e-03 -28.787919
35.39 1.317216e-03 -28.803430
35.48 1.312590e-03 -28.818710
35.57 1.308049e-03 -28.833761
35.66 1.303593e-03 -28.848581
35.75 1.299221e-03 -28.863171
35.84 1.294932e-03 -28.877532
35.93 1.290725e-03 -28.891662
36.02 1.286601e-03 -28.905563
36.11 1.282557e-03 -28.919233
36.20 1.278594e-03 -28.932674
36.29 1.274710e-03 -28.945885
36.38 1.270906e-03 -28.958866
36.47 1.267180e-03 -28.971618
36.56 1.263531e-03 -28.984140
36.65 1.259960e-03 -28.996433
36.74 1.256465e-03 -29.008496
36.83 1.253046e-03 -29.020330
36.92 1.249702e-03 -29.031936
37.01 1.246432e-03 -29.043312
37.10 1.243237e-03 -29.054460
